causa2,año,mujer,edad,muertes_suavizadas
esófago,2007,1,44,0.05128405377868972
esófago,2007,1,45,0.054638065555215096
esófago,2007,1,46,0.06330755333541543
esófago,2007,1,47,0.07945403228873704
esófago,2007,1,48,0.10754399404522842
esófago,2007,1,49,0.15356590284135613
esófago,2007,1,50,0.22500316229103792
esófago,2007,1,51,0.32771374503000467
esófago,2007,1,52,0.4531117966794621
esófago,2007,1,53,0.5878966197676644
esófago,2007,1,54,0.7024968296136724
esófago,2007,1,55,0.7847511372054393
esófago,2007,1,56,0.8439657753885369
esófago,2007,1,57,0.8854897914810218
esófago,2007,1,58,0.9317968582847356
esófago,2007,1,59,0.9840517648955248
esófago,2007,1,60,1.0420468023771918
esófago,2007,1,61,1.1019285755542496
esófago,2007,1,62,1.1500733663983311
esófago,2007,1,63,1.1863444182661642
esófago,2007,1,64,1.2181538412542527
esófago,2007,1,65,1.2533547769395406
esófago,2007,1,66,1.322461749625713
esófago,2007,1,67,1.435299832343918
esófago,2007,1,68,1.6076604613817664
esófago,2007,1,69,1.8480245495879535
esófago,2007,1,70,2.1141182511411305
esófago,2007,1,71,2.384323969309827
esófago,2007,1,72,2.571462694975578
esófago,2007,1,73,2.6443029133675777
esófago,2007,1,74,2.6328635873915376
esófago,2007,1,75,2.5601803711335784
esófago,2007,1,76,2.5492014781711814
esófago,2007,1,77,2.629438849897212
esófago,2007,1,78,2.8349019380085876
esófago,2007,1,79,3.191029430052471
esófago,2007,1,80,3.5896836306528677
esófago,2007,1,81,3.9720585929436125
esófago,2007,1,82,4.140265437580943
esófago,2007,1,83,4.0059151567023035
esófago,2007,1,84,3.6128848733649477
esófago,2007,1,85,3.045759078262847
esófago,2007,1,86,2.4766451267532217
esófago,2007,1,87,1.971021968017022
esófago,2007,1,88,1.5573718648546864
esófago,2007,1,89,1.2308222632016645
esófago,2008,0,0,0.004489287935227504
esófago,2008,0,1,0.004029680626738177
esófago,2008,0,2,0.0036192198317253556
esófago,2008,0,3,0.0032544787425343082
esófago,2008,0,4,0.002930716531231271
esófago,2008,0,5,0.0026441354881117734
esófago,2008,0,6,0.0023903786324320046
esófago,2008,0,7,0.002165882688782214
esófago,2008,0,8,0.0019670943493131335
esófago,2008,0,9,0.0017911019088390208
esófago,2008,0,10,0.0016351215078499912
esófago,2008,0,11,0.00149688690512832
esófago,2008,0,12,0.0013743209835176465
esófago,2008,0,13,0.0012659061764829476
esófago,2008,0,14,0.0011700562511273822
esófago,2008,0,15,0.0010858112207276869
esófago,2008,0,16,0.0010119421388515534
esófago,2008,0,17,9.479701326722834e-4
esófago,2008,0,18,8.929455700876591e-4
esófago,2008,0,19,8.46841516049377e-4
esófago,2008,0,20,8.089553750532312e-4
esófago,2008,0,21,7.79671760244243e-4
esófago,2008,0,22,7.585996539504766e-4
esófago,2008,0,23,7.46686968811254e-4
esófago,2008,0,24,7.440417978998191e-4
esófago,2008,0,25,7.52464954014727e-4
esófago,2008,0,26,7.729966522037606e-4
esófago,2008,0,27,8.089740803410224e-4
esófago,2008,0,28,8.633773044508628e-4
esófago,2008,0,29,9.427480212967747e-4
esófago,2008,0,30,0.0010544959752915746
esófago,2008,0,31,0.0012125534020872202
esófago,2008,0,32,0.0014354117747680001
esófago,2008,0,33,0.0017557251607614895
esófago,2008,0,34,0.0022224147725722317
esófago,2008,0,35,0.002921985297469598
esófago,2008,0,36,0.003997350369732553
esófago,2008,0,37,0.005707851799246403
esófago,2008,0,38,0.00852118486360334
esófago,2008,0,39,0.01332317652272884
esófago,2008,0,40,0.021839289637471136
esófago,2008,0,41,0.03746187429825916
esófago,2008,0,42,0.06715699713659543
esófago,2008,0,43,0.12417109616089152
esófago,2008,0,44,0.2343288753593686
esófago,2008,0,45,0.43296580540351187
esófago,2008,0,46,0.7537360572306481
esófago,2008,0,47,1.1912510017639113
esófago,2008,0,48,1.6419629393959123
esófago,2008,0,49,1.9924312054098818
esófago,2008,0,50,2.1538469249070067
esófago,2008,0,51,2.157087032290348
esófago,2008,0,52,2.118835756337964
esófago,2008,0,53,2.079841393655163
esófago,2008,0,54,2.103526683006626
esófago,2008,0,55,2.190614611910673
esófago,2008,0,56,2.343859037451252
esófago,2008,0,57,2.5616832268028658
esófago,2008,0,58,2.8238314606123254
esófago,2008,0,59,3.1204692105217573
esófago,2008,0,60,3.407730380539616
esófago,2008,0,61,3.663368187522945
esófago,2008,0,62,3.8409077533851064
esófago,2008,0,63,3.932502405893447
esófago,2008,0,64,3.955894777997671
esófago,2008,0,65,3.9313823714940885
esófago,2008,0,66,3.9344470504442
esófago,2008,0,67,3.9805648440300985
esófago,2008,0,68,4.107419791306637
esófago,2008,0,69,4.320187745640606
esófago,2008,0,70,4.593056229181479
esófago,2008,0,71,4.918360326348032
esófago,2008,0,72,5.2296400548689
esófago,2008,0,73,5.503013275646782
esófago,2008,0,74,5.691202147179823
esófago,2008,0,75,5.77759665727434
esófago,2008,0,76,5.763043999817129
esófago,2008,0,77,5.653236969313614
esófago,2008,0,78,5.490005072548855
esófago,2008,0,79,5.291807187274689
esófago,2008,0,80,5.117203809465158
esófago,2008,0,81,4.979989503189358
esófago,2008,0,82,4.872822743366773
esófago,2008,0,83,4.786908356895177
esófago,2008,0,84,4.6127832686957895
esófago,2008,0,85,4.316021896545158
esófago,2008,0,86,3.8145915751144464
esófago,2008,0,87,3.1457196245640335
esófago,2008,0,88,2.4394825443758292
esófago,2008,0,89,1.7870900397763725
esófago,2008,1,0,0.0043466336593532785
esófago,2008,1,1,0.003937427220827826
esófago,2008,1,2,0.003568912991059159
esófago,2008,1,3,0.003238995176964478
esófago,2008,1,4,0.00294411237121131
esófago,2008,1,5,0.0026815650934277698
esófago,2008,1,6,0.0024478403865634307
esófago,2008,1,7,0.0022401806061770847
esófago,2008,1,8,0.0020555915423863093
esófago,2008,1,9,0.0018917092015237331
esófago,2008,1,10,0.0017461180875931244
esófago,2008,1,11,0.0016169211989540716
esófago,2008,1,12,0.00150228844609266
esófago,2008,1,13,0.0014009548837467327
esófago,2008,1,14,0.001311522960361959
esófago,2008,1,15,0.0012332354859928417
esófago,2008,1,16,0.0011650296159367024
esófago,2008,1,17,0.001106620585227066
